시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,111,8,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,5,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,66,8,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,32,2,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,18,2,Aug-24,Jun-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59,86,86,Aug-24,Aug-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59,45,45,Aug-24,Aug-24,미준공,
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59,26,22,May-24,Sep-24,미준공,
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59,13,11,May-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 월산리 81 월산 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148,390,77,May-24,Oct-24,준공,
남양주시,,화도읍,경기도 남양주시 답내리 516-4 답내 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148,148,82,May-24,Oct-24,준공,
남양주시,,다산동,경기도 남양주시 다산동 3473,효성중공업㈜,코리아신탁㈜,민간,분양,84,350,0,Apr-24,Feb-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,50,12,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,25,1,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,75,2,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84,75,0,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84,25,0,Jul-24,Sep-24,미준공,
남양주시,,금곡동,경기도 남양주시 금곡동 404-20,한신공영㈜,금곡지역주택조합,민간,분양,60,159,1,Jun-24,Feb-24,미준공,
남양주시,,별내동,경기도 남양주시 별내동 999,GS건설,한국자산신탁,민간,분양,84,520,1,Oct-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,92,55,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,127,73,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,54,6,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,74,4,0,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49,16,5,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49,4,3,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49,13,2,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,49,10,0,Apr-24,Dec-24,미준공,
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,60,38,2,May-24,Jan-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,60,26,0,May-24,Jan-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-12일원,한라,한라,민간,분양,78,102,32,May-24,Jan-24,준공,
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,50,14,0,Apr-24,Jul-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,60,12,0,Apr-24,Jul-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,63,11,1,Apr-24,Jul-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,65,13,0,Apr-24,Jul-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 117번지,대우산업개발주식회사,삼협연립3차가로주택정비사업/㈜필민,민간,분양,70,8,0,Apr-24,Jul-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 91-1,㈜KCC건설,청암아파트 소규모재건축사업,민간,분양,59,32,14,Dec-24,Feb-24,미준공,
부천시,,괴안동,경기도 부천시 괴안동 91-1,㈜KCC건설,청암아파트 소규모재건축사업,민간,분양,51,18,6,Dec-24,Feb-24,미준공,
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,49.91,5,1,Dec-24,Oct-24,준공,
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,48.74,10,0,Dec-24,Oct-24,준공,
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,52.89,10,0,Dec-24,Oct-24,준공,
부천시,,원종동,경기도 부천시 원종동 476번지,주식회사 더원종합건설,명신아파트 가로주택정비사업,민간,분양,52.97,10,0,Dec-24,Oct-24,준공,
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,26.95,4,4,Nov-24,Jan-24,준공,
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.95,18,3,Nov-24,Jan-24,준공,
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.93,9,3,Nov-24,Jan-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74,28,1,May-24,Jul-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74,28,0,May-24,Jul-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74,28,0,May-24,Jul-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74,24,0,May-24,Jul-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,74,28,0,May-24,Jul-24,준공,
부천시,,소사본동,경기도 부천시 소사본동 70-7 외 6필지,현대아산주식회사,한송건설산업,민간,분양,71,24,0,May-24,Jul-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,84,9,6,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,76,9,5,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,75,24,15,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74,9,3,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,74,24,7,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,73,9,5,Mar-24,Apr-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70,24,18,Mar-24,Apr-24,준공,
부천시,,여월동,경기도 부천시 여월동 9-28번지,이수건설㈜,여월LH참여형 가로주택정비사업조합,민간,분양,59.96,12,4,Nov-24,Jan-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,61,5,5,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,60,2,2,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59,8,8,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59,1,1,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59,12,12,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,54,1,1,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,51,8,8,Apr-24,May-24,준공,
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,39,1,1,Apr-24,May-24,준공,
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70,24,17,Mar-24,Apr-24,준공,
