시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고,위도,경도
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,59.0,12,12.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,54.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,51.0,8,8.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원미동,경기도 부천시 원미동 119-2,동문건설,무궁화신탁,민간,분양,39.0,1,1.0,Apr-24,May-24,준공,,37.4920306,126.7892064
부천시,,원종동,경기도 부천시 원종동 316 외 1필지,도원종합건설,도원주택건설,민간,분양,70.0,24,17.0,Mar-24,Apr-24,준공,,37.5231073,126.8083567
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.79,3,3.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,55.51,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,56.94,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.96,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,60.27,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,61.0,14,3.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,62.0,1,0.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,65.0,1,0.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,민간,분양,66.0,14,7.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,금광동,경기도 성남시 중원구 금광동 4863,㈜중앙건설,코람코자산신탁,만간,분양,68.0,11,5.0,Jun-24,Feb-24,준공,,37.4475095,127.167266
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.94,5,4.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,35.14,9,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,46.87,1,0.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,48.38,18,17.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,50.18,2,2.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.72,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.51,6,6.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.55,9,9.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,52.99,1,1.0,May-24,Feb-24,준공,,37.4275951,127.1442912
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,54.12,5,5.0,May-24,Feb-24,준공,,37.4275951,127.1442912
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,39,17.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,39,27.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,70,57.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,18,16.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,18,1.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84.0,25,2.0,Aug-24,Nov-24,미준공,,37.2434994,127.0184012
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84.0,51,0.0,Aug-24,Nov-24,미준공,,37.2434994,127.0184012
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84.0,24,1.0,Aug-24,Nov-24,미준공,,37.2434994,127.0184012
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84.0,28,3.0,Aug-24,Nov-24,미준공,,37.2434994,127.0184012
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84.0,17,2.0,Aug-24,Feb-24,미준공,,37.2458141,126.9643556
시흥시,,논곡동,경기도 시흥시 수인로 2365,진흥기업㈜,㈜미산투자개발,민간,분양,56.0,123,74.0,Jul-24,Jan-24,준공,,37.4108054,126.8290946
시흥시,,논곡동,경기도 시흥시 수인로 2365,진흥기업㈜,㈜미산투자개발,민간,분양,71.0,22,12.0,Jul-24,Jan-24,준공,,37.4108054,126.8290946
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,84.0,223,194.0,Jan-24,Nov-24,미준공,,37.0486763,127.4218358
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,84.0,76,68.0,Jan-24,Nov-24,미준공,,37.0486763,127.4218358
안성시,,신소현동,경기도 안성시 신소현동 84번지,에스엠상선㈜,한국투자부동산신탁㈜,민간,분양,84.0,660,360.0,Dec-24,Mar-24,미준공,,37.020581,127.257929
안성시,,신소현동,경기도 안성시 신소현동 84번지,에스엠상선㈜,한국투자부동산신탁㈜,민간,분양,84.0,316,166.0,Dec-24,Mar-24,미준공,,37.020581,127.257929
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,74.0,20,15.0,Jan-24,Nov-24,미준공,,37.0486763,127.4218358
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,74.0,155,92.0,Jan-24,Nov-24,미준공,,37.0486763,127.4218358
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,100.97,35,16.0,May-24,Mar-24,미준공,,36.9905475,127.1359561
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.97,148,34.0,May-24,Mar-24,미준공,,36.9905475,127.1359561
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.98,293,128.0,May-24,Mar-24,미준공,,36.9905475,127.1359561
